class,category,family,reason
BigCat,AIR,AIR,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
BlinkScript,Other,Utility / Other,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
CatFileCreator,AIR,AIR,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
CompareMetaData,MetaData,Utility / Other,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
CopyCat,AIR,AIR,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
CopyMetaData,MetaData,Utility / Other,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
CurveTool,Image,Read / Write / I/O,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
Deblur,AIR,AIR,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
Expression,Color,Color,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
Inference,AIR,AIR,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
MergeExpression,Merge,Merge / Channel,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ModifyMetaData,MetaData,Utility / Other,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleAttractToSphere,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleBlinkScript,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleBounce,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleCache,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleCurve,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleCylinderFlow,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleDirectionalForce,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleDrag2,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleEmitter,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleExpression,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleGravity,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleGrid,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleInfo,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleLookAt,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleMotionAlign,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticlePointForce,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleProjectDisplace,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleProjectImage,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleSettings,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleShockWave,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleSpawn,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleSpeedLimit,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleToGeo,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleTurbulence,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleVortex,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ParticleWind,Particles,Particles,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
Upscale,AIR,AIR,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
ViewMetaData,MetaData,Utility / Other,"Specialized/interactive node: examples are valid functional patterns, but a dedicated creator/Foundry workflow could improve them further."
